request_id,input_tokens,output_tokens,ttft_ms,e2e_ms,tpot_ms
0,1665,690,2256.236,22562.356,29.472
1,25,375,2255.557,22555.569,54.278
2,140,854,2255.517,22555.167,23.798
3,33,779,2255.447,22554.466,26.091
4,34,859,2255.415,22554.15,23.658
5,45,829,2255.364,22553.645,24.515
6,76,766,2255.331,22553.308,26.533
7,30,326,2255.27,22552.697,62.454
8,976,875,2255.231,22552.311,23.223
9,374,639,2254.879,22548.79,31.809
10,41,894,2254.747,22547.475,22.724
11,64,745,2254.716,22547.163,27.275
12,62,753,2254.681,22546.811,26.984
13,394,844,2254.647,22546.47,24.071
14,42,839,2254.521,22545.214,24.213
15,52,872,2254.492,22544.921,23.296
16,21,522,2254.462,22544.625,38.945
17,65,788,2254.438,22544.383,25.781
18,201,896,2254.401,22544.006,22.67
19,917,766,2254.302,22543.024,26.521
20,748,569,2254.008,22540.08,35.715
21,26,871,2253.776,22537.759,23.315
22,43,558,2253.748,22537.483,36.416
23,24,750,2253.715,22537.153,27.081
24,103,919,2253.693,22536.933,22.095
25,846,851,2253.645,22536.445,23.862
26,397,541,2253.415,22534.148,37.557
27,32,944,2253.294,22532.936,21.505
28,29,779,2253.265,22532.652,26.066
29,25,825,2253.238,22532.381,24.611
30,110,635,2253.215,22532.151,31.986
31,106,883,2253.17,22531.699,22.992
32,22,828,2253.121,22531.206,24.52
33,15,730,2253.095,22530.951,27.816
34,193,685,2253.061,22530.606,29.646
35,164,811,2252.99,22529.904,25.033
36,32,840,2252.926,22529.264,24.167
37,83,842,2252.898,22528.983,24.109
38,19,910,2252.856,22528.561,22.306
39,760,748,2252.832,22528.323,27.143
40,164,956,2252.609,22526.093,21.229
41,507,852,2252.548,22525.476,23.822
42,534,788,2252.384,22523.842,25.758
43,228,878,2252.216,22522.164,23.113
44,43,816,2252.132,22521.316,24.87
45,13,502,1610.312,16103.119,28.928
46,20,911,2252.075,22520.745,22.273
47,71,691,2252.041,22520.41,29.374
48,317,812,2252.005,22520.052,24.991
49,168,857,2251.897,22518.971,23.676
50,18,585,2251.835,22518.348,34.703
51,146,731,2251.808,22518.084,27.762
52,222,817,2251.752,22517.515,24.835
53,70,671,2251.669,22516.689,30.246
54,14,931,2251.631,22516.313,21.79
55,25,933,2251.61,22516.104,21.743
56,45,911,2251.588,22515.877,22.268
57,629,794,2251.56,22515.6,25.554
58,37,738,2251.373,22513.733,27.493
59,63,834,2251.342,22513.42,24.324
60,94,834,2251.292,22512.917,24.324
61,515,879,2251.236,22512.359,23.076
62,1110,701,2251.088,22510.885,28.943
63,44,853,2250.704,22507.038,23.775
64,64,581,2250.671,22506.713,34.924
65,173,845,2250.633,22506.327,24.0
66,56,830,2250.571,22505.715,24.433
67,17,808,2250.539,22505.392,25.099
68,1087,915,2250.517,22505.171,22.16
69,18,790,2250.219,22502.193,25.668
70,21,960,2250.199,22501.985,21.118
71,29,592,2250.176,22501.763,34.267
72,647,760,2250.152,22501.524,26.682
73,40,667,2249.947,22499.475,30.405
74,68,936,2249.916,22499.165,21.657
75,21,864,2249.88,22498.801,23.463
76,261,766,2249.857,22498.574,26.469
77,36,588,2249.766,22497.665,34.494
78,52,939,2249.737,22497.365,21.586
79,139,816,2249.707,22497.069,24.843
80,31,617,2249.655,22496.55,32.868
81,36,924,2249.626,22496.259,21.936
82,32,858,2249.6,22496.001,23.625
83,1336,403,2249.574,22495.742,50.364
84,34,641,2249.204,22492.043,31.629
85,12,897,2249.175,22491.751,22.592
86,532,47,2249.142,22491.415,440.049
87,12,676,2248.973,22489.726,29.986
88,494,850,2248.952,22489.521,23.84
89,26,716,2248.792,22487.92,28.306
90,21,715,2248.764,22487.642,28.346
91,36,856,2248.742,22487.421,23.671
92,42,738,2248.716,22487.163,27.461
93,60,809,2248.688,22486.876,25.047
94,13,544,2248.653,22486.532,37.27
95,21,827,2248.632,22486.323,24.501
96,68,937,2248.612,22486.117,21.621
97,123,827,2248.574,22485.743,24.5
98,20,825,2248.523,22485.229,24.559
99,18,697,2248.488,22484.878,29.075
