request_id,input_tokens,output_tokens,ttft_ms,e2e_ms,tpot_ms
sharegpt_wRyWxD2_18,1665,4,449.755,491.012,13.752
sharegpt_kv271Gd_40,25,795,380.018,16937.419,20.853
sharegpt_bEQJqxw_0,140,1025,119.349,21651.563,21.028
sharegpt_8sl3rDY_0,33,280,227.764,6152.679,21.236
sharegpt_EKVf2RL_0,34,673,227.49,14384.895,21.068
sharegpt_AieydaK_0,45,4,227.598,447.698,73.367
sharegpt_E3SwF8i_0,76,362,227.555,7914.037,21.292
sharegpt_Yu9nEQY_44,30,307,227.417,6743.803,21.295
sharegpt_kjeGJvK_2,976,621,379.145,13328.013,20.885
sharegpt_u7ynJaV_0,374,325,379.202,7161.463,20.933
sharegpt_Y6nhEqm_0,41,630,378.919,13514.363,20.883
sharegpt_U3KZdH9_0,64,1025,226.989,21672.263,20.943
sharegpt_ksLyHFO_0,62,1025,227.076,21672.138,20.942
sharegpt_EcvnZ3B_8,394,270,226.855,5940.92,21.242
sharegpt_j6HIlwY_0,42,598,226.604,12829.376,21.11
sharegpt_OlhSVrJ_0,52,58,226.935,1566.135,23.495
sharegpt_bLv7JMf_0,21,633,226.74,13557.115,21.092
sharegpt_sh6WkqO_0,65,49,226.633,1382.204,24.074
sharegpt_r3WT7hv_0,201,732,226.62,15597.692,21.027
sharegpt_7uUzx6Z_4,917,746,226.599,15887.703,21.022
sharegpt_ZivWPmv_0,748,452,73.069,9469.704,20.835
sharegpt_eIibBFp_0,26,531,72.189,11098.051,20.804
sharegpt_1bziJ0t_0,43,955,60.17,19874.973,20.77
sharegpt_GUVjQIR_0,24,345,60.81,7241.912,20.875
sharegpt_EY52KT1_0,103,638,61.899,13328.861,20.827
sharegpt_SXOonXB_16,846,574,72.481,11995.591,20.808
sharegpt_tDPXObj_0,397,379,65.342,7931.347,20.81
sharegpt_5nINNyc_0,32,564,64.233,11741.857,20.742
sharegpt_cwzsyBR_0,29,629,63.372,13073.255,20.716
sharegpt_YzlCOF5_0,25,1025,70.792,21332.576,20.763
sharegpt_M8bwizw_0,110,364,60.079,7547.359,20.626
sharegpt_fiVI7Ln_0,106,765,59.155,15934.33,20.779
sharegpt_at1lmSN_0,22,249,60.987,5171.435,20.607
sharegpt_C3ePtjr_0,15,422,60.354,8754.165,20.65
sharegpt_vl3is2s_30,193,327,64.689,6789.484,20.628
sharegpt_xYPu2UN_0,164,124,62.835,2599.676,20.625
sharegpt_FH1eRUZ_0,32,308,60.044,6396.488,20.64
sharegpt_FjQjuhg_0,83,403,60.041,8368.05,20.667
sharegpt_yycpKrx_0,19,776,60.017,16214.02,20.844
sharegpt_Tnyb9mk_26,760,1025,83.961,21400.945,20.817
sharegpt_V8KAABo_0,164,475,60.881,9854.139,20.661
sharegpt_9Qep354_34,507,725,59.814,15142.167,20.832
sharegpt_PUZlqBP_0,534,1025,59.946,21404.99,20.845
sharegpt_RhAc4fh_0,228,234,62.119,4867.751,20.625
sharegpt_ASOnp4D_0,43,373,62.244,7756.944,20.685
sharegpt_5bzpd5P_0,13,445,59.563,9308.84,20.832
sharegpt_0M8jndL_0,20,336,61.564,6991.437,20.686
sharegpt_GPKEDmZ_0,71,116,60.817,2420.036,20.515
sharegpt_IOhW1Iq_50,317,76,61.138,1590.891,20.397
sharegpt_NeBDpcw_24,168,955,61.861,20001.558,20.901
